REF NO, NAME, ADDRESS, CITY, PROVINCE, POSTALCODE
1416,"YARMOUTH BAR FISHERIES LIMITED","598 HIGHWAY 304","OVERTON","NS","B5A5G6"
0124,"TORNGAT FISH PRODUCERS CO-OP SOCIETY LIMITED","10 CHURCH ROAD","NAIN","NL","-"
0194,"TORNGAT FISH PRODUCERS CO-OPERATIVE SOCIETY, LIMITED (MAKKOVIK)","140A MORAVIAN STREET","MAKKOVIK","NL","A0P1J0"
1111,"WOOD-PICK ENTERPRISES LIMITED","9 SPURRELLS LANE","WAREHAM","NL","A0G4P0"
0125,"WOODMAN'S SEA PRODUCTS LIMITED","1 GOVERNMENT WHARF ROAD","NEW HARBOUR","NL","A0B2P0"
3519,"BAY ENTERPRISES LTD","2642 MALAGASH ROAD","MALAGASH","NS","B0K1E0"
3102,"I.C. FISH SMOKERS","1730 HWY 335","LOWER WEST PUBNICO","NS","B0W2C0"
1434,"SCOTIA GARDEN SEAFOOD INCORPORATED","112 WATER STREET","YARMOUTH","NS","B5A4K5"
3017,"SAMBRO FISHERIES LIMITED","40 LENNY'S LANE","SAMBRO","NS","B3V1L5"
3307,"SEA STAR SEAFOODS LIMITED","80 COURTNEY ST","CLARK'S HARBOUR","NS","B0W1P0"
3134,"SHIP'S LOBSTER POUND (2005)  LIMITED","197 LOBSTER POUND RD","CAPE FOURCHU","NS","B0W2E0"
2428,"L'ASSOCIATION COOPÉRATIVE DES PÊCHEURS DE L'ILE LTÉE/ISLAND FISHERMEN COOPERATIVE ASSOCIATION LTD","3046 ROUTE 117","POINTE-SAPIN","NB","E9A1V1"
1212,"DUGUAY FISH PACKERS LTD.","1062 CHEMIN BAS-CAP-PELE","CAP-PELE","NB","E4N1K9"
2411,"EASTERN SEA PRODUCTS LTD.","11 ADDISON AVENUE","SCOUDOUC","NB","E4P3N3"
1271,"ACADIAN FISH PROCESSORS LIMITED","171 D'ENTREMONT ROAD","LOWER WEST PUBNICO","NS","B0W2C0"
0445,"EDMOND GAGNON LTD","9 QUAI DES ROBICHAUD RD","BARACHOIS","NB","E4P8A4"
1338,"OCEANS ALIVE SEAFOODS LIMITED","39 PROSPECT POINT ROAD","SHAG HARBOUR","NS","B0W3B0"
2420,"ELPHEGE & NORBERT LEBLANC LTD.","47 CHEMIN DU QUAI","PETIT-CAP","NB","E4N2E8"
1270,"FUNDY BAY SEAFOOD","65 DIPPER HARBOUR ROAD","DIPPER HARBOUR","NB","E5J2T1"
1463,"ADVOCATE SEAFOODS LIMITED","3831 HIGHWAY 209","ADVOCATE HARBOUR","NS","B0M1A0"
0238,"GAUDET & OUELLETTE LTD.","519 CHEMIN BAS-CAP-PELE","BAS-CAP-PELÉ","NB","E4N3B1"
2563,"ICHIBOSHI L.P.C. LTD.","24 RUE DU QUAI","CARAQUET","NB","E1W1B6"
2527,"LA FERME OSTRÉICOLE CHIASSON LTÉE","31 RUE DE L'ETANG","LAMÈQUE","NB","E8T1C2"
2540,"FERME OSTRÉICOLE GAÉTAN DUGAS LTÉE","675 BOUL, ST-PIERRE OUEST","CARAQUET","NB","E1W1A2"
2442,"POISSONNERIE LEGER FISHERIES LTEE/LTD.","38 CHEMIN DE LA CÔTE","TROIS-RUISSEAUX","NB","E4N2V7"
2552,"THAI UNION CANADA INC.","78 RUE DU QUAI","VAL-COMEAU","NB","E1X4L1"
2510,"BOLERO SHELLFISH PROCESSING INC.","1324 ROUTE 335","ST. SIMON","NB","E8P2B2"
2518,"PÊCHERIES STE-CÉCILE INC","136 CHEMIN LACROIX","SAINTE-CÉCILE","NB","E8T2X2"
3237,"AQUAPRIME MUSSEL RANCH LIMITED","14108 HIGHWAY #7","SHIP HARBOUR","NS","B0J1Y0"
2406,"LESLIE LEGER & SONS LTD","34 CHEMIN DE LA COTE","TROIS-RUISSEAUX","NB","E4N2V7"
2547,"MCGRAW SEAFOOD (2008) INC.","3113 RUE PRINCIPALE","TRACADIE-SHEILA","NB","E1X1A2"
1459,"B.C.D. FISHERIES LIMITED","22 LITTLE BROOK ROAD","LITTLE BROOK","NS","B0W1Z0"
0346,"BAKERS POINT FISHERIES LIMITED","33 BAKER'S POINT ROAD","EAST JEDDORE","NS","B0J1W0"
3293,"MISTY HARBOUR SEAFOOD","2304 OCEAN WESTWAY","SAINT JOHN","NB","E2M5J4"
0236,"BAY OF FUNDY FISHERIES LTD","120 HILLSBURN RD","HILLSBURN","NS","B0S1K0"
2570,"BARRY GROUP INC.","764 RUE PRINCIPALE","LOWER NÉGUAC","NB","E9G1N5"
2448,"OCEAN PIER INC.","20 PATTISON STREET","SCOUDOUC","NB","E4P3R4"
2463,"OUELLETTE SEA PRODUCTS LTD.","20 SHORE DRIVE","PETIT-CAP","NB","E4N2K4"
3158,"BIRCH STREET SEAFOODS LIMITED","35 BIRCH STREET","DIGBY","NS","B0V1A0"
2403,"OUELLETTE SEA PRODUCTS LTD","4 RUE BRUN","PETIT-CAP","NB","E4N2E4"
3028,"OVEN HEAD SALMON SMOKERS LTD","101 OVEN HEAD ROAD","BETHEL","NB","E5C1S3"
1209,"PÊCHERIES BELLE-ILE FISHERIES LTÉE LTD","4 RUE DU PORT","SAINTE-MARIE-SUR-MER","NB","E8T1T4"
2555,"PÊCHERIES ST-PAUL (1989) LTÉE./ST-PAUL FISHERIES (1989) LTD. (PLANT #2555)","2261 RUE INDUSTRIELLE","BAS-CARAQUET","NB","E1W5Z1"
1213,"PHILIP OUELLETTE & SONS LTD","44 CH DU QUAI","PETIT-CAP","NB","E4N2G5"
3287,"POINT QUEEN FISHERIES LTD","1207 ROUTE 172","LETETE","NB","E5C3S8"
2514,"PÊCHERIES ARSENEAU FISHERIES","221 RUE PRINCIPALE","NIGADOO","NB","E8K3S8"
0232,"THADDEE & ALVERIE FISHERIES LTD","14 CHEMIN DE L'ILES","PETIT-CAP","NB","E4N2G7"
0255,"PRODUITS BELLE BAIE LTEE","10 RUE DU QUAI","CARAQUET","NB","E1W1B6"
5964,"FUMOIR LA FÉE DES GRÈVES","1920 AVENUE JEAN-DE-CLERMONT","QUÉBEC","QC","G1E3S3"
5093,"ALIMENTS ED FOODS INC.","6200 RTE TRANS-CANADA","POINTE-CLAIRE","QC","H9R1B9"
5776,"CRUSTACÉS BAIE-TRINITÉ INC.","75, ROUTE 138","BAIE-TRINITÉ","QC","G0H1A0"
5227,"CRUSTACÉS DE MALBAIE INC.","1491, ROUTE 132 EST","SAINT-GEORGES-DE-MALBAIE","QC","G0C2X0"
5197,"CUSIMER (1991) INC.","54, 1 IÈRE AVENUE OUEST","MONT-LOUIS","QC","G0E1T0"
0546,"E. GAGNON ET FILS LTEE","405 ROUTE 132","SAINTE-THÉRÈSE-DE-GASPÉ","QC","G0C3B0"
5095,"FERME PISCICOLE DES BOBINES INC.","1 RUE SAINT-HENRI","EAST HEREFORD","QC","J0B1S0"
5928,"FUMOIR GRIZZLY INC.","159 D'AMSTERDAM","SAINT-AUGUSTIN-DE-DESMAURES","QC","G3A2V5"
3117,"CAPE BREEZE SEAFOODS LIMITED","3203 PORT LA TOUR ROAD","PORT LA TOUR","NS","B0W2T0"
0594,"LES ALIMENTS KRINOS FOODS CANADA LTD./LTEE.","5555 BOULEVARD THIMENS","MONTRÉAL","QC","H4R2H4"
0558,"LA CREVETTE DU NORD ATLANTIQUE INC","9  DE LA MARY","RIVIÈRE-AU-RENARD","QC","G4X5E9"
0529,"LELIÈVRE, LELIÈVRE ET LEMOIGNAN LTÉE","52 RUE DES VIGNEAUX","SAINTE-THÉRÈSE-DE-GASPÉ","QC","G0C3B0"
2002,"CEILIDH FISHERMEN CO-OP LIMITED","MURPHY'S POND ROAD","PORT HOOD","NS","B0E2W0"
3179,"CHARLESVILLE FISHERIES LIMITED","879 HWY 3","LOWER EAST PUBNICO","NS","B0W2A0"
2013,"CHASE'S LOBSTER POUND LIMITED","7935 HIGHWAY #6","PORT HOWE","NS","B0L1K0"
5782,"LES CRABIERS DU NORD INC","428, RUE PRINCIPALE, C.P. 255","PORTNEUF-SUR-MER","QC","G0T1P0"
5198,"LES CRUSTACÉS DES MONTS INC.","1, RUE DU PARC INDUSTRIEL","SAINTE-ANNE-DES-MONTS","QC","G4V2V9"
0542,"LES FRUITS DE MER DE L'EST DU QUÉBEC (1998) LTÉE","1600, MATANE-SUR-MER","MATANE","QC","G4W3M6"
5615,"LES FRUITS DE MER MADELEINE INC.","546 CHEMIN FOUGÈRE","ETANG-DU-NORD","QC","G4T3B3"
5797," 54354 NL INC. - OLD FORT","1, MAIN ROAD","OLD FORT BAY","QC","G0G2G0"
0543,"LES PÊCHERIES GASPÉSIENNES INC.","48, RUE DES VAGUES","PETIT-CAP","QC","G4X4M9"
5178,"LES PÊCHERIES MARINARD LTÉE","41 RUE DE L'ENTREPÔT","GASPÉ","QC","G4X5L3"
5077,"LES PLATS DU CHEF ULC","51 RUE KESMARK","MONTRÉAL","QC","H9B3J1"
5103,"LES SERVICES ALIMENTAIRES DELTA DAILYFOOD (CANADA) INC.","26 RUE J MARC SÉGUIN","RIGAUD","QC","J0P1P0"
5817,"COOPÉRATIVE COMMUNAUTAIRE DE FRUITS DE MER DE LA BASSE COTE-NORD","-","HARRINGTON HARBOUR","QC","G0G1N0"
5611,"LA RENAISSANCE DES ÎLES INC.","18, CHEMIN DU QUAI","GRANDE-ENTRÉE","QC","G4T7A1"
0405,"CLEARWATER SEAFOODS LIMITED PARTNERSHIP","68 WATER STREET","LOCKEPORT","NS","B0T1L0"
0566,"LA RENAISSANCE DES ÎLES INC.","521, CHEMIN GROS-CAP","ÉTANG-DU-NORD","QC","G4T3M1"
0550,"POISSON SALÉ GASPÉSIEN LTÉE","39 RUE DU PARC","GRANDE-RIVIÈRE","QC","G0C1V0"
5167,"POISSONNERIE BLANCHETTE INC.","150, BOUL. PERRON EST","SAINTE-ANNE-DES-MONTS","QC","G4V3A4"
1394,"COMEAU'S SEA FOODS LIMITED","60 SAULNIERVILLE ROAD","SAULNIERVILLE","NS","-"
0547,"POISSONNERIE DE CLORIDORME INC.","643 ROUTE 132","CLORIDORME","QC","G0E1G0"
1392,"COMEAU'S SEA FOODS LIMITED","60 SAULNIERVILLE","SAULNIERVILLE","NS","-"
5808,"POISSONNERIE DU HAVRE LTÉE","968 RUE DE LA BERGE","HAVRE-SAINT-PIERRE","QC","G0G1P0"
0301,"COMEAU'S SEA FOODS LIMITED","60 SAULNIERVILLE ROAD","SAULNIERVILLE","NS","B0W2L0"
5766,"POISSONNERIE JEAN-GUY LAPRISE INC.","142, RUE VALLILEE","CHUTE-AUX-OUTARDES","QC","G0H1C0"
5806,"POSÉIDON "LES POISSONS ET CRUSTACÉS" INC.","259, RUE DE LA MER","LONGUE-POINTE-DE-MINGAN","QC","G0G1V0"
1260,"FRANKLAND CANNING COMPANY","20 PATRICE ROAD","CHURCH POINT","NS","B0W1M0"
0423,"CORMIER'S FIVE ISLAND CLAMS LIMITED","93 WHARF ROAD","FIVE ISLANDS","NS","B0M1K0"
5199,"UNIPÊCHE M.D.M. (1997) LTEE","66 AVENUE DU QUAI, PLANT ID: 5199","PASPÉBIAC","QC","G0C2K0"
3342,"DAVE'S FRESH CLAMS","1440 GRANVILLE RD., PORT WADE","ANNAPOLIS COUNTY","NS","-"
3346,"DEEP COVE AQUA FARMS LIMITED","5182 HIGHWAY 329","BLANDFORD","NS","B0J1C0"
3120,"DELAPS COVE FISH PRODUCTS LTD.","2680 SHORE RD WEST","DELAPS COVE","NS","B0S1K0"
2401,"SEA TIDE IMPORT & EXPORT LTD. (PLANT #1)","55 CORMIER STREET","CAP-PELE","NB","E4N1N8"
2439,"SEA TIDE IMPORT & EXPORT LTD","45 CORMIER STREET","CAP-PELE","NB","E4N1N8"
2433,"SUNCOAST SEAFOOD INC","87 CHEMIN QUAI-CAP-COCAGNE","GRANDE-DIGUE","NB","E4R4H7"
0277,"EAST SIDE FISHERIES LIMITED","337 HWY 3","LOWER EAST PUBNICO","NS","B0W2A0"
0177,"SHEDIAC LOBSTER SHOP LTD.","261 MAIN STREET","SHEDIAC","NB","E4P2A6"
1400,"EMERY SMITH FISHERIES LIMITED","5309 HWY 3","SHAG HARBOUR","NS","B0W3B0"
2427,"SOUTH SHORE TRADING CO. LTD.","36 JOHN A. TRENHOLM ROAD","UPPER CAPE","NB","E4M2R6"
0414,"CAPE BALD PACKERS LTD.","769 CHEMIN DE LA POINTE","RICHIBUCTO VILLAGE","NB","E4W1G1"
3228,"FISHERMAN'S MARKET INTERNATIONAL INCORPORATED","607 BEDFORD HIGHWAY","HALIFAX","NS","B3M2L6"
2422,"WEST INDIA TRADING CO. INC.","2086 ROUTE 950","PETIT-CAP","NB","E4N2J7"
0402,"WESTMORLAND FISHERIES LTD.","64 GAUTREAU STREET","CAP-PELE","NB","E4N1V3"
1376,"WOLFHEAD SMOKERS LTD.","420 ROUTE 172","LETANG","NB","E5C1W5"
1336,"FORT POINT FISHERIES LIMITED","107 FORT POINT ROAD","SHELBURNE","NS","-"
1480,"FOSTER'S SEAFOODS","108 CHEMIN DE LA POINTE","TUSKET","NS","B0W3M0"
1475,"GULLIVER'S COVE FISHERIES","556 GULLIVER'S COVE ROAD","DIGBY","NS","B0V1A0"
0938,"MAC'S OYSTERS LTD.","7162 SOUTH ISLAND HIGHWAY","FANNY BAY","BC","V0R1W0"
0728,"HUB CITY FISHERIES LTD.","262 SOUTHSIDE DRIVE","NANAIMO","BC","V9R6Z5"
1956,"MID-OCEAN FISHERIES LTD.","#150 - 12831 CLARKE PLACE","RICHMOND","BC","V6V2H9"
0769,"AERO TRADING CO. LTD.","1080 SKEENA DRIVE","PORT EDWARD","BC","V0V1G0"
1976,"MOON ENTERPRISES INC.","#2 - 11720 VOYAGEUR WAY","RICHMOND","BC","V6X3G9"
0770,"AERO TRADING CO. LTD.","200-8592 FRASER STREET","VANCOUVER","BC","V5X3Y3"
0959,"SEABORN ENTERPRISES LTD.","79 & 91 EAST KENT AVENUE NORTH","VANCOUVER","BC","V5X2X5"
0767,"CANADIAN FISHING COMPANY, A DIVISION OF JIM PATTISON ENTERPRISES LTD.","FOOT OF SEAL COVE ROAD","PRINCE RUPERT","BC","V8J3R5"
0702,"CANADIAN FISHING COMPANY,  A DIVISION OF JIM PATTISON ENTERPRISES LTD.","13140 RICE MILL ROAD","RICHMOND","BC","V6W1A1"
0792,"CANADIAN FISHING COMPANY, A DIVISION OF JIM PATTISON ENTERPRISES LTD.","181 GEORGE HILLS WAY","PRINCE RUPERT","BC","V8J1A3"
0950,"MARINE HARVEST CANADA INC.","7200 COHO ROAD","PORT HARDY","BC","V0N2P0"
1972,"SALISH SEA FOODS LIMITED PARTNERSHIP","820 SHAMROCK PLACE","COMOX","BC","V9M4G4"
1982,"OCEANFOOD INDUSTRIES LIMITED","11520 EBURNE WAY","RICHMOND","BC","V6V2G7"
0915,"ORCA SPECIALTY FOODS LTD.","#4 17350 56TH AVENUE","SURREY","BC","V3S1C3"
0943,"CERMAQ CANADA PROCESSING LTD.","61 - 4TH STREET","TOFINO","BC","-"
0910,"BAYNES SOUND OYSTER CO. LTD.","5848 ISLAND HIGHWAY","UNION BAY","BC","V0R3B0"
0740,"PACIFIC NORTHWEST SHELLFISH COMPANY LTD.","#150 - 8851 BECKWITH ROAD","RICHMOND","BC","V6X1V4"
0747,"HEILTSUK FISHERIES MANAGEMENT LTD.","FOOT OF MCLOUGHLIN BAY ROAD","BELLA BELLA 1","BC","V0T1Z0"
1944,"PACIFIC RIM SHELLFISH (2003) CORP.","1807 MAST TOWER ROAD","VANCOUVER","BC","V6H3X7"
0956,"BEST HONOUR INTERNATIONAL SEAFOOD LTD.","#126 - 11786 RIVER ROAD","RICHMOND","BC","V6X1Z7"
1934,"BLUNDELL SEAFOODS LTD.","11351 RIVER ROAD","RICHMOND","BC","V6X1Z6"
0964,"KEYSTONE MERCHANDISING","#12 - 4751 SHELL ROAD","RICHMOND","BC","V6X3H4"
0983,"PALADIN INTERNATIONAL FOOD SALES LTD.","#9 - 12671 BATHGATE WAY","RICHMOND","BC","V6V1Y5"
0969,"THE PENDER HARBOUR FISHING CO. LTD","13067 HASSAN ROAD","MADEIRA PARK","BC","V0N2H0"
0904,"BROWN'S BAY PACKING COMPANY LTD.","15007 BROWN'S BAY ROAD","CAMPBELL RIVER","BC","V9H1N9"
0795,"CAMPBELL RIVER FISHING CO. LTD.","1330 HOMEWOOD ROAD","CAMPBELL RIVER","BC","V9W3N7"
0942,"S. M. PRODUCTS (B.C.) LTD.","3827 RIVER ROAD WEST","DELTA","BC","V4K3N2"
1908,"PACIFIC SALMON INDUSTRIES INC. O/A SCANNER ENTERPRISES","8305 - 128TH STREET","SURREY","BC","V3W4G1"
1967,"SEA WORLD FISHERIES LTD.","1708 PANDORA STREET","VANCOUVER","BC","V5L1L9"
0736,"KELTIC SEAFOODS LIMITED","8625 GLENVIEW ROAD","PORT HARDY","BC","V0N2P0"
0978,"HAIDA WILD LIMITED PARTNERSHIP","1620 OLD BEACH ROAD","MASSET","BC","V0T1M0"
0780,"ST. JEAN'S COAST MOUNTAIN RESOURCES INC.","242 SOUTHSIDE DRIVE","NANAIMO","BC","V9R6Z5"
0772,"SUNG FISH COMPANY LIMITED","1795 PANDORA STREET","VANCOUVER","BC","V5L1L8"
1939,"TIMOTHY OYSTER CO. LTD.","5035 PATON ROAD","LADYSMITH","BC","V9G1M6"
0724,"TRI-STAR SEAFOOD SUPPLY LTD.","11751 VOYAGEUR WAY","RICHMOND","BC","V6X3J4"
0798,"UCLUELET HARBOUR SEAFOODS LTD.","1661 CEDAR ROAD","UCLUELET","BC","V0R3A0"
1928,"CLOVERDALE COLD STORAGE LTD. #2","3133 - 188TH STREET","SURREY","BC","V3Z9V5"
0903,"COOPER'S COVE OYSTER FARM LTD.","6377 BELVISTA PLACE","SOOKE","BC","V9Z0S9"
0993,"COOPER'S COVE OYSTER FARM LTD.","6377 BELVISTA PLACE","SOOKE","BC","V9Z0S9"
0799,"DOLLAR FOOD MANUFACTURING INC.","1410 - 1450 ODLUM DRIVE","VANCOUVER","BC","V5L4X7"
0726,"E-FISH-ENT FISH COMPANY LTD.","1941 GOODRIDGE ROAD","SOOKE","BC","V9Z0C6"
0774,"EVERGREEN INTERNATIONAL FOODSTUFFS LTD.","1944 FRANKLIN STREET","VANCOUVER","BC","V5L1R2"
 0717,"SEA DRIFT FISH COMPANY LTD.","248 SOUTHSIDE DRIVE","NANAIMO","BC","V9R6Z5"
0773,"TAYLOR SHELLFISH CANADA ULC DBA FANNY BAY OYSTERS","8260 SOUTH ISLAND HIGHWAY","FANNY BAY","BC","V0R1W0"
0994,"TAYLOR SHELLFISH CANADA ULC","8260 SOUTH ISLAND HIGHWAY","FANNY BAY","BC","V0R1W0"
0712,"SOO JERKY LIMITED","13191 PRINCESS STREET","RICHMOND","BC","V7E3S1"
0787,"FRENCH CREEK SEAFOOD LTD.","1097 LEE ROAD","PARKSVILLE","BC","V9P2E1"
0985,"TAIWAN FOOD PRODUCTS LTD.","#10A - 8145 130TH STREET","SURREY","BC","V3W7X4"
1926,"GRAND HALE MARINE PRODUCTS COMPANY LIMITED","11551 TWIGG PLACE","RICHMOND","BC","V6V2Y2"
0763,"GREAT GLACIER SALMON LTD.","MILE 35","PRINCE RUPERT","BC","-"
1985,"CIWA INVESTMENTS CO. LTD. DBA HING LEE SEAFOODS","#8 - 12671 BATHGATE WAY","RICHMOND","BC","V6V1Y5"
1933,"DELTA PACIFIC SEAFOODS LTD.","6001- 60TH AVENUE","DELTA","BC","V4K4E2"
1907,"ISLAND SCALLOPS LTD.","5552 WEST ISLAND HIGHWAY","QUALICUM BEACH","BC","V9K2C8"
0902,"KANATA HOLDINGS LTD. DBA ORCA SEAFOODS LTD.","200 - 11251 RIVER ROAD","RICHMOND","BC","V6X1Z6"
1833,"DIANA'S SEAFOOD","2101 LAWRENCE AVENUE EAST","SCARBOROUGH","ON","M1R2Z4"
0745,"KITASOO SEAFOODS LTD.","GENERAL DELIVERY","KLEMTU","BC","V0T1L0"
0742,"COAST TSIMSHIAN FISH PLANT LTD.","100 SHASHAAK STREET","LAX KW'ALAAMS","BC","V0V1H0"
0947,"LEADER COLD STORAGE LTD.","3900 VIKING WAY","RICHMOND","BC","V6V1N6"
0604,"ALL TEMP FOODS LTD","15 INDUSTRIAL ROAD","LEAMINGTON","ON","N8H4W4"
0777,"LIONS' GATE FISHERIES LTD.","4179 RIVER ROAD WEST","DELTA","BC","V4K1R9"
1762,"ALLSEAS FISHERIES CORP.","55 VANSCO ROAD","TORONTO","ON","M8Z5Z8"
1918,"LIONS' GATE FISHERIES LTD.","612 CAMPBELL STREET","TOFINO","BC","V0R2Z0"
1653,"BOS SMOKED FISH INC","1175 PATTULLO AVENUE","WOODSTOCK","ON","N4S7W3"
0657,"(A DIVISION OF COLE-MUNRO FOODS INC)","54 VANKOOGHNET ST E","LITTLE CURRENT","ON","POP1K0"
1693,"COLE-MUNRO FOODS GROUP INC.","5 BARRIE BOULEVARD","ST. THOMAS","ON","N5P4B9"
1771,"CANYON CREEK FOOD COMPANY LTD.","8704  53RD AVENUE","EDMONTON","AB","T6E5G2"
1896,"ETOBICOKE NOODLES INC.","66 NEWCASTLE STREET","TORONTO","ON","M8Y1A4"
1647,"FEATURE FOODS INTERNATIONAL INC.","30 FINLEY ROAD","BRAMPTON","ON","L6T1A9"
1684,"FERROCLAD FISHERY","24 FERROCLAD ROAD","BATCHAWANA BAY","ON","P0S1A0"
1664,"FRESHWATER FISH MARKETING CORPORATION","-","WINNIPEG","MB","R2C3L4"
1748,"SOFINA FOODS INC./ ALIMENTS SOFINA INC.","401 CANARCTIC DRIVE","TORONTO","ON","M3J2P9"
1890,"LA NASSA SEAFOOD","215 INDUSTRY ROAD","KINGSVILLE","ON","N9Y1K9"
0635,"INDEPENDENT FISH CO LTD","941 SHERBROOK STREET","WINNIPEG","MB","R3A1N3"
0628,"MARINER NEPTUNE FISH & SEAFOOD CO LTD","472 DUFFERIN AVE","WINNIPEG","MB","R2W2Y6"
1712,"MINOR FISHERIES LTD.","1070 ELM STREET","PORT COLBORNE","ON","L3K5V5"
1752,"WILD WEST STEELHEAD","NE Q 21-23-07 W3","LUCKY LAKE","SK","S0L1Z0"
1849,"OCEAN FOOD COMPANY LIMITED","3 TURBINA AVENUE","SCARBOROUGH","ON","M1V5G3"
1742,"PACIFIC FRESH FISH LTD.","679 HENDERSON DRIVE","REGINA","SK","S4N6A8"
1867,"PRESTEVE FOODS LIMITED","20954 ERIE STREET SOUTH","WHEATLEY","ON","N0P2P0"
1718,"PURDY FISHERIES LTD.","RIVER FRONT","POINT EDWARD","ON","-"
1775,"POS BIO-SCIENCES","118 VETERINARY ROAD","SASKATOON","SK","S7N2R4"
1774,"SEACORE SEAFOOD INC.","81 AVIVA PARK DRIVE","WOODBRIDGE","ON","L4L9C1"
1830,"THE PURVIS BROS. LIMITED","1981 BURNT ISLAND ROAD","BURNT ISLAND","ON","P0P1Y0"
1853,"LES PLATS DU CHEF ULC","610 OSTER LANE","VAUGHAN","ON","L4K2C1"
1293,"TRUE NORTH SALMON LIMITED PARTNERSHIP","17 WALKER DRIVE","CHARLOTTETOWN","PE","C1A8S5"
2302,"BELLE RIVER ENTERPRISES LIMITED","12 WATERVIEW LANE","BELLE RIVER","PE","C0A1B0"
2001,"BURLEIGH BROS. SEAFOODS LTD","224 BURLEIGH ROAD","ELLERSLIE","PE","C0B1J0"
0610,"COUNTRY QUEEN FOODS INC.","205 WILKINSON ROAD","BRAMPTON","ON","L6T4M2"
2390,"F T C ENTERPRISES LIMITED","101 BELVEDERE AVENUE","CHARLOTTETOWN","PE","C1A6B3"
2307,"MACKINNON'S LOBSTER POUND LTD.","2 PRINCE ST.","CHARLOTTETOWN","PE","C1A4P5"
