"HS6-SH6","DESCRIPTION_ENG","DESCRIPTION_FRA"
"020329","Swine, Cuts Boneless - Frozen","Viande de l'espèce porcine - congelée"
"020410","Lamb,  Carcasses And Half-Carcasses - Fresh Or Chilled","Carcasses et demi-carcasses d'agneau - fraîches ou réfrigérées"
"020421","Sheep, Carcasses And Half-Carcasses - Fresh Or Chilled","Carcasses et demi-carcasses de l'espèce ovine nda - fraîches ou réfrigérées"
"020422","Sheep, Cuts With Bone In - Fresh Or Chilled","Morceaux de viande de l'espèce ovine - non désossés - frais ou réfrigérés"
"020423","Sheep, Cuts Boneless - Fresh Or Chilled","Morceaux de viande de l'espèce ovine - désossés - frais ou réfrigérés"
"020430","Lamb, Carcasses And Half-Carcasses - Frozen","Carcasses et demi-carcasses d'agneau - congelées"
"020441","Sheep,  Carcasses And Half-Carcasses - Frozen","Carcasses et demi-carcasses de l'espèce ovine nda - congelées"
"020442","Sheep,  Cuts With Bone In - Frozen","Morceaux de viande non désossés de l'espèce ovine - congelés"
"020443","Sheep,  Cuts Boneless - Frozen","Viandes désossées de l'espèce ovine - congelées"
"020450","Goat Meat- Fresh, Chilled Or Frozen","Viandes de l'espèce caprine - fraîches, réfrigérées ou congelées"
"020610","Bovine Edible Offal - Fresh Or Chilled","Abats comestibles de l'espèce bovine - frais ou réfrigérés"
"020621","Bovine Tongues, Edible Offal - Frozen","Langues de l'espèce bovine - congelées"
"020622","Bovine Livers, Edible Offal - Frozen","Foies de l'espèce bovine - congelés"
"020629","Bovine Edible Offal Nes - Frozen","Abats comestibles de l'espèce bovine nda - congelés"
"020630","Swine, Edible Offal - Fresh Or Chilled","Abats comestibles de l'espèce porcine - frais ou réfrigérés"
"020641","Swine Livers, Edible Offal - Frozen","Foies de l'espèce porcine - congelés"
"020649","Swine Edible Offal Nes - Frozen","Abats comestibles de l'espèce porcine nda - congelés"
"020680","Sheep, Goat, Horse, Asses, Mule Or Hinny, Edible Offal - Fresh Or Chilled","Abats comestibles des espèces ovine, caprine, chevaline, asine ou mulassière - frais ou réfrigérés"
"020690","Sheep, Goat, Horse, Asses, Mule Or Hinny, Edible Offal - Frozen","Abats comestibles des espèces ovine, caprine, chevaline, asine ou mulassière - congelés"
"020711","Fowls Of 'Gallus Domesticus' - Domestic, Whole - Fresh Or  Chilled","Coqs et poules (non découpés en morceaux) - frais ou réfrigérés"
"020712","Fowls Of 'Gallus Domesticus' - Domestic, Whole - Frozen","Coqs et poules (non découpés en morceaux) - congelés"
"020713","Cuts And Edible Offals Of Fowls Of 'Gallus Domesticus' - Domestic - Fresh Or  Chilled","Morceaux de viande et abats comestibles de coqs ou de poules - frais ou réfrigérés"
"020714","Cuts And Edible Offals (Incl Livers)  Of Fowls Of 'Gallus Domesticus' - Domestic - Frozen","Morceaux de viande et abats comestibles de coqs ou de poules - congelés"
"020724","Turkeys, Domestic, Whole -  Fresh Or Chilled","Dindons et dindes (non découpés en morceaux) - frais ou réfrigérés"
"020725","Turkeys, Domestic, Whole -  Frozen","Dindons et dindes (non découpés en morceaux) - congelés"
"020726","Cuts And Edible Offals (Incl Livers) Of Turkeys, Domestic - Fresh Or Chilled","Morceaux de viande et abats comestibles de dindons ou de dindes - frais ou réfrigérés"
"020727","Turkeys, Domestic, Cuts And Offal - Frozen","Morceaux de viande et abats comestibles de dindons ou de dindes - congelés"
"020742","Of Ducks: Not Cut In Pieces, Frozen","Canards, oies ou pintades domestiques (non découpés en morceaux) - congelés"
"020743","Of Ducks, Fatty Livers, Fresh Or Chilled","De canards, foies gras, frais ou réfrigérés"
"020744","Of Ducks, Other, Fresh Or Chilled","De canards, autres, frais ou réfrigérés"
"020745","Of Ducks, Other, Frozen","De canards, autres, congelés"
"020752","Of Geese, Not Cut Iin Pieces, Frozen Autres, Congelés","D'oies, non découpés en morceaux, congelés"
"020753","Of Geese, Fatty Livers, Fresh Or Chilled","D'oies, foies gras, frais ou réfrigérés"
"020755","Of Geese, Other, Frozen","D'oies, autres, congelés"
"020760","Of Guinea Fowls","D'oies, de pintades"
"020810","Rabbit Or Hare Meat And Edible Meat Offal - Fresh, Chilled Or Frozen","Viandes et abats comestibles de lapin ou de lièvre - frais, réfrigérés ou congelés"
"020850","Reptile Meat Or Edible Offal - Fresh, Chilled Or Frozen","Viandes et abats comestibles de reptiles - fraîches, réfrigérées ou congelées"
"020860","Of Camels And Other Camelids","De chameaux et d'autres camélidés"
"020890","Meat And Edible Meat Offal, Nes,  Fresh, Chilled Or Frozen","Viandes et abats comestibles, nda,  frais, réfrigérés ou congelés"
"020910","Of Pigs","De porc"
"020990","Of Pigs, Other","De porc, autres"
"021011","Hams, Shoulders And Cuts Thereof, With Bone In - Cured","Jambons, épaules et leurs morceaux  - non désossé - salés, en saumure, séchés ou fumés"
"021012","Bellies, Streaky And Cuts Thereof, Of Swine - Cured","Poitrines entrelardées et leurs morceaux - salés, en saumure, séchés ou fumés"
"021019","Swine Meat - Cured","Viandes de l'espèce porcine nda  - salées, en saumure, séchées ou fumées"
"021020","Bovine Meat - Cured","Viandes de l'espèce bovine nda - salées, en saumure, séchées ou fumées"
"021093","Meat And Edible Meat Offal Of Reptiles - Cured","Viandes de reptiles nda - salées, en saumure, séchées ou fumées"
"021099","Meat And Edible Meat Offal Nes - Cured","Viandes de volaille et autres espèces nda - salées, en saumure, séchées ou fumées"
"030111","Ornamental Fish: Freshwater (Live)","Poissons d'ornement, d'eau douce"
"030119","Other: Ornamental Fish (Live)","Poissons d'ornement,  autres"
"030191","Trout, Live","Truites vivantes"
"030192","Eels, Live","Anguilles vivantes"
"030193","Carp, Live","Carpes vivantes"
"030194","Atlantic And Pacific Bluefin Tunas","Thons rouges de l'atlantique et du pacifique"
"030199","Fish Live Nes","Poissons vivants, nda"
"030211","Trout (Fresh Or Chilled) (Excl Fish Fillets)","Truites - fraîches/réfrigérées (a/q filets/foies/oeufs/laitances)"
"030213","Pacific Salmon (Fresh Or Chilled) (Excl Fish Fillets)","Saumons du pacifique"
"030214","Atlantic Salmon And Danube Salmon (Fresh Or Chilled) (Excl Fish Fillets)","Saumons de l'atlantique et saumons du danube"
"030219","Other Salmonidae Nes - Fresh Or Chilled (Excl Fish Fillets)","Salmonidés nda - frais/réfrigérés (a/q filets/foies/oeufs/laitances)"
"030221","Halibut - Fresh Or Chilled (Excl Fish Fillets)","Flétans - frais/réfrigérés (a/q filets/foies/oeufs/laitances)"
"030222","Plaice (Fresh Or Chilled) (Excl Fish Fillets)","Plies ou carrelets - frais/réfrigérés (a/q filets/foies/oeufs/laitances)"
"030223","Sole (Fresh Or Chilled) (Excl Fish Fillets)","Soles - fraîches/réfrigérées (a/q filets/foies/oeufs/laitances)"
"030224","Turbots (Fresh Or Chilled) (Excl Fish Fillets)","Turbots"
"030229","Flatfish Nes - Fresh Or Chilled (Excl Fish Fillets)","Poissons plats nda - frais/réfrigérés (a/q filets/foies/oeufs/laitances)"
"030231","Tunas, Albacore Or Longfinned - Fresh Or Chilled (Excl Fish Fillets)","Thons, blancs ou germons - frais/réfrigérés (a/q filets/foies/oeufs/laitances)"
"030232","Tunas, Yellowfin - Fresh Or Chilled (Excl Fish Fillets)","Thons à nageoires jaunes - frais/réfrigérés (a/q filets/foies/oeufs/laitances)"
"030233","Skipjack Or Stripe-Bellied Bonito - Fresh Or Chilled (Excl Fish Fillets)","Listaos ou bonites ventre rayé - frais/réfrigérés (a/q filets/foies/oeufs/laitances)"
"030234","Bigeye Tunas - Fresh Or Chilled (Excl Fish Fillets)","Thons obèses - frais/réfrigérés (a/q filets/foies/oeufs/laitances)"
"030235","Atlantic And Pacific Bluefin Tunas (Fresh Or Chilled (Excl Fish Fillets)","Thons rouges de l'atlantique et du pacifique"
"030236","Southern Bluefin Tunas - Fresh Or Chilled (Excl Fish Fillets)","Thons rouges du sud - frais/réfrigérés (a/q filets/foies/oeufs/laitances)"
"030239","Tunas Nes - Fresh Or Chilled (Excl Fish Fillets)","Thons nda - frais/réfrigérés (a/q filets/foies/oeufs/laitances)"
"030241","Herrings (Fresh Or Chilled (Excl Fish Fillets)","Harengs"
"030242","Anchovies (Fresh Or Chilled) (Excl Fish Fillets)","Anchois"
"030243","Sardines (Fresh Or Chilled) (Excl Fish Fillets)","Sardines"
"030244","Mackerel (Fresh Or Chilled) (Excl Fish Fillets)","Maquereaux"
"030245","Jack And Horse Mackerel (Fresh Or Chilled) (Excl Fish Fillets)","Chinchards noirs"
"030246","Cobia (Fresh Or Chilled) (Excl Fish Fillets)","Mafous"
"030247","Swordfish (Fresh Or Chilled) (Excl Fish Fillets)","Espadons"
"030251","Cod (Fresh Or Chilled) (Excl Fish Fillets)","Morues"
"030252","Haddock (Fresh Or Chilled) (Excl Fish Fillets)","Eglefins"
"030253","Coalfish (Fresh Or Chilled) (Excl Fish Fillets)","Lieus noirs"
"030254","Hake (Fresh Or Chilled) (Excl Fish Fillets)","Merlus"
"030255","Alaska Pollack (Fresh Or Chilled) (Excl Fish Fillets)","Lieus d'alaska"
"030256","Blue Whitings (Fresh Or Chilled) (Excl Fish Fillets)","Merlans bleus"
"030259","Other, Fish Of The Families, Excluding Livers And Roes (Fresh Or Chilled) (Excl Fish Fillets)","Autres, poissons des familles, à l'exclusion des foies, oeufs et laitances"
"030271","Tilapias (Fresh Or Chilled) (Excl Fish Fillets)","Tilapias"
"030272","Catfish (Fresh Or Chilled) (Excl Fish Fillets)","Silures"
"030273","Carp (Fresh Or Chilled) (Excl Fish Fillets)","Carpes"
"030274","Eels (Fresh Or Chilled) (Excl Fish Fillets)","Anguilles"
"030279","Other: Tilapias, Catfish, Carp, Eels, Nile Perch And Snakeheads (Except Livers And Roes)","Autres, tilapias"
"030281","Other Fish, Excluding Livers And Roes: Dogfish And Other Sharks (Fresh/Chilled) (Excl Fish Fillets)","Squales"
"030282","Other Fish, Excluding Livers And Roes: Rays And Skates (Fresh/Chilled) (Excl Fish Fillets)","Raies"
"030284","Other Fish, Excluding Livers And Roes: Seabass (Fresh/Chilled) (Excl Fish Fillets)","Bars (loups)"
"030285","Other Fish, Excluding Livers And Roes: Seabream (Fresh/Chilled) (Excl Fish Fillets)","Pagres"
"030289","Other: Other Fish, Excluding Livers And Roes","Autres: autres poissons a l'exclusion des foies, oeufs et laitances"
"030290","Livers And Roes (Fresh/Chilled Fish) (Excl Fish Fillets)","Autres poissons: foies, oeufs et laitances"
"030311","Salmonidae, Excluding Liver And Roes: Sockeye (Red) Salmon - Frozen (Excl Fish Fillets)","Saumons rouges - congelés (a/q filets/foies/oeufs/laitances)"
"030312","Salmonidae, Excluding Liver And Roes: Other Pacific Salmon (Frozen Fish) (Excl Fish Fillets)","Autres saumons du pacifique"
"030313","Salmonidae, Excluding Liver And Roes: Atlantic Salmon And Danube Salmon (Frozen Fish) (Excl Fish Fil","Saumons de l'atlantique et saumons du danube"
"030314","Salmonidae, Excluding Liver And Roes: Trout (Frozen Fish) (Excl Fish Fillets)","Truites"
"030319","Salmonidae, Excluding Liver And Roes: Other [Frozen Fish] (Excl Fish Fillets)","Autres saumons du pacifique nda - congelés (a/q filets/foies/oeufs/laitances)"
"030323","Tilapias (Frozen Fish) (Excl Fish Fillets)","Tilapias"
"030324","Catfish (Frozen Fish) (Excl Fish Fillets)","Silures"
"030325","Carp (Frozen Fish) (Excl Fish Fillets)","Carpes"
"030326","Eels (Frozen Fish) (Excl Fish Fillets)","Anguilles"
"030329","Other: Tilapias, Catfish, Carp, Eels, Nile Perch, And Snakeheads (Except Livers Or Roes)","Autres: tilapias, silures, carpes, aungilles et poissons tête de serpent (a/q filets/foies/oeufs/lai"
"030331","Halibut (Except Livers Or Roes) - Frozen (Excl Fish Fillets)","Flétans - congelés (a/q filets/foies/oeufs/laitances)"
"030332","Plaice (Except Livers Or Roes) - Frozen (Excl Fish Fillets)","Plies ou carrelets - congelés (a/q filets/foies/oeufs/laitances)"
"030333","Sole (Except Livers Or Roes) - Frozen (Excl Fish Fillets)","Soles - congelées (a/q filets/foies/oeufs/laitances)"
"030334","Turbots (Frozen Fish) (Excl Fish Fillets)","Turbots"
"030339","Flat Fish Nes (Except Livers Or Roes) - Frozen (Excl Fish Fillets)","Poissons plats nda - congelés (a/q filets/foies/oeufs/laitances)"
"030341","Tunas, Albacore/Longfinned (Except Livers/Roes) - Frozen (Excl Fish Fillets)","Thons, blancs ou germons - congelés (a/q filets/foies/oeufs/laitances)"
"030342","Tunas, Yellowfin (Except Livers Or Roes) - Frozen (Excl Fish Fillets)","Thons à nageoires jaunes - congelés(a/q filets/foies/oeufs/laitances)"
"030343","Skipjack/Stripe-Bellied Bonito (Except Livers/ Roes) - Frozen (Excl Fillets)","Listaos ou bonites à ventre rayé - congelés (a/q filets/foies/oeufs/laitances)"
"030344","Bigeye Tunas  (Except Livers/ Roes) - Frozen (Excl Fillets)","Thons obèses - congelés (a/q filets/foies/oeufs/laitances)"
"030345","Bluefin Tunas (Except Livers/ Roes) - Frozen (Excl Fillets)","Thons rouges - congelés (a/q filets/foies/oeufs/laitances)"
"030349","Tunas Nes (Except Livers Or Roes) - Frozen (Excl Fish Fillets)","Thons nda - congelés (a/q filets/foies/oeufs/laitances)"
"030351","Herrings, Frozen, Excluding Heading  03.04, Livers And Roes","Harengs, congelés, excluant n° 03.04,  foies, oeufs et laitances"
"030353","Sardines, Sardinella, Brisling Or Sprats (Frozen Fish) (Excl Fish Fillets)","Sardines, sardinelles, sprats ou esprots"
"030354","Mackerel (Frozen Fish) (Excl Fish Fillets)","Maquereaux"
"030355","Jack And Horse Mackerel (Frozen Fish) (Excl Fish Fillets)","Chinchards noirs"
"030357","Swordfish (Frozen Fish) (Excl Fish Fillets)","Espadons"
"030363","Fish Of The Families [Excluding Livers And Roes] Cod (Frozen Fish) (Excl Fish Fillets)","Morues"
"030364","Fish Of The Families [Excluding Livers And Roes] Haddock (Frozen Fish) (Excl Fish Fillets)","Eglefins"
"030365","Fish Of The Families [Excluding Livers And Roes] Coalfish (Frozen Fish) (Excl Fish Fillets)","Lieus noires"
"030366","Fish Of The Families [Excluding Livers And Roes] Hake (Frozen Fish) (Excl Fish Fillets)","Merlus"
"030367","Fish Of The Families [Excluding Livers And Roes] Alaska Pollack (Frozen Fish) (Excl Fish Fillets)","Lieus d'alaska"
"030369","Fish Of The Families [Excluding Livers And Roes] Other (Frozen Fish) (Excl Fish Fillets)","Autres: poissons des familes (a/q filets/foies/oeufs/laitances)"
"030381","Other Fish, Excluding Livers And Roes: Dogfish And Other Sharks (Frozen Fish) (Excl Fish Fillets)","Autres: poissons des familes (a/q filets/foies/oeufs/laitances) squales"
"030382","Other Fish, Excluding Livers And Roes: Rays And Skates  (Frozen Fish) (Excl Fish Fillets)","Autres: poissons des familes (a/q filets/foies/oeufs/laitances) raies"
"030383","Other Fish, Excluding Livers And Roes: Toothfish (Frozen Fish) (Excl Fish Fillets)","Autres: poissons des familes (a/q filets/foies/oeufs/laitances) légines"
"030384","Other Fish, Excluding Livers And Roes: Seabass (Frozen Fish) (Excl Fish Fillets)","Autres: poissons des familes (a/q filets/foies/oeufs/laitances) bars (loups)"
"030389","Other: Other Fish, Excluding Livers And Roes (Frozen Fish) (Excl Fish Fillets)","Autres: autres: poissons des familes (a/q filets/foies/oeufs/laitances)"
"030390","Other Fish: Livers And Roes (Frozen Fish) (Excl Fish Fillets)","Autres poissons: foies, oeufs et laitances"
"030431","Tilapias (Fresh Or Chilled) (Fish Fillets)","Tilapias"
"030432","Catfish (Fresh, Or Chilled) (Fish Fillets)","Silures"
"030433","Nile Perch (Fresh Or Chilled) (Fish Fillets)","Perches du nil"
"030439","Other Tilapias, Catfish, Carp, Eels, Nile Perch And Snakeheads (Fresh Or Chilled) (Fish Fillets)","Autres tilapias, silures, carpes, perches du nil, et de poissons têtes de serpent"
"030441","Pacific, Atlantic And Danube Salmon (Fresh Or Chilled) (Fish Fillets)","Saumons du pacifique, saumons de l'atlantique et saumons du danube"
"030442","Trout (Fresh Or Chilled) (Fish Fillets)","Truites"
"030443","Flat Fish (Fresh Or Chilled) (Fish Fillets)","Poissons plats"
"030444","Fish Of The Families (Fresh Or Chilled) (Fish Fillets)","Poissons des familles"
"030445","Swordfish (Fresh Or Chilled) (Fish Fillets)","Espadons"
"030446","Toothfish (Fresh Or Chilled) (Fish Fillets)","Légines"
"030449","Other: Fresh Or Chilled Fillets Of Other Fish","Autres poissons"
"030451","Other, Fresh Or Chilled: Tilapias, Catfish, Carp, Eels, Nile Perch And Snakeheads","Tilapias, silures, carpes, perches du nil, et de poissons têtes de serpent"
"030452","Other, Fresh Or Chilled: Salmonidae","Salmonidés"
"030453","Other, Fresh Or Chilled: Fish Of The Families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae.","Poissons des familles"
"030454","Other, Fresh Or Chilled: Swordfish","Espadons"
"030459","Other, Fresh Or Chilled: Other","Autres: poissons des familes (a/q filets/foies/oeufs/laitances)"
"030461","Tilapias (Frozen) (Fish Fillets)","Tilapias"
"030462","Catfish (Frozen) (Fish Fillets)","Silures"
"030469","Other: Other Frozen Fillets Of Tilapias, Catfish, Carp, Eels, Nile Perch And Snakeheads","Autres: autres tilapias, silures, carpes, perches du nil, et de poissons têtes de serpent"
"030471","Frozen Fillets Of Fish Of The Families: Cod","Morues"
"030472","Frozen Fillets Of Fish Of The Families: Haddock","Eglefins"
"030473","Frozen Fillets Of Fish Of The Families: Coalfish","Lieus noirs"
"030474","Frozen Fillets Of Fish Of The Families: Hake","Merlus"
"030475","Frozen Fillets Of Fish Of The Families: Alaska Pollack","Lieus d'alaska"
"030479","Other: Frozen Fillets Of Other Fish Of The Families","Autres poissons de la même famille"
"030481","Frozen Fillets Of Other Fish: Pacific Salmon, Atlantic Salmon And Danube Salmon","Saumons du pacifique, saumons de l'atlantique et saumons du danube"
"030482","Frozen Fillets Of Other Fish: Trout","Truites"
"030483","Frozen Fillets Of Other Fish: Flat Fish","Poissons plats"
"030484","Frozen Fillets Of Other Fish: Swordfish","Truites"
"030485","Frozen Fillets Of Other Fish: Toothfish","Légines"
"030486","Frozen Fillets Of Other Fish: Herrings","Harengs"
"030487","Frozen Fillets Of Other Fish: Tunas, Skipjack Or Stripe-Bellied Bonito","Thons, listaos ou bonites à ventre rayé"
"030489","Other: Frozen Fillets Of Other Fish","Autres poissons"
"030491","Swordfish Meat, Minced Or Not, Frozen","Chair d'espadons, hachée ou non,congelée"
"030492","Toothfish Meat, Minced Or Not, Frozen","Chair de légines, hachée ou non,congelée"
"030493","Tilapias, Catfish, Carp,  Eels, Nile Perch And Snakeheads","Tilapias, silures, carpes, perches du nil, et de poissons têtes de serpent"
"030494","Alaska Pollack","Lieus d'alaska"
"030495","Fish Of The Families, Other Than Alaska Pollack","Poissons de la famille à l'exclusion des lieus d'alaska"
"030499","Fish Meat, Nes, Minced Or Not, Frozen","Chair de poissons, hachée ou non, nda,  congelée"
"030510","Fish Meal - Fit For Human Consumption","Farine de poissons pour l'alimentation humaine"
"030520","Livers And Roes - Dried, Smoked, Salted Or In Brine","Foies, oeufs et laitances de poissons - séchés, fumés, salés ou en saumure"
"030531","Tilapias, Catfish, Carp, Eels, Nile Perch And Snakeheads (Dried, Salted Or In Brine, But Not Smoked)","Tilapias, silures, carpes, perches du nil, et de poissons têtes de serpent"
"030532"," Fish Of The Families (Dried, Salted Or In Brine, But Not Smoked) (Fish Fillets)","Poissons des familles"
"030539","Other Fish Fillets Dried, Salted Or In Brine, But Not Smoked","Autres fillet de poissons"
"030541","Smoked Salmon (Atlantic, Pacific Or Danube) - Including Fillets","Saumons du pacifique, de l'atlantique ou du danube fumés (y compris les filets)"
"030542","Smoked Herring - Including Fillets","Harengs fumés (y compris les filets)"
"030543","Trout","Truites"
"030544","Tilapias, Catfish, Carp, Eels, Nile Perch And Snakeheads","Tilapias, silures, carpes, perches du nil, et de poissons têtes de serpent"
"030549","Other Smoked Fish Nes - Including Fillets","Poissons fumés nda (y compris les filets)"
"030551","Dried Cod - Not Smoked","Morues - séchées, même salées mais non fumées"
"030559","Dried Fish (Other Than Cod) - Not Smoked","Poissons (autres que morues) - séchés, même salés mais non fumés"
"030561","Herring, Salted Or In Brine - Not Dried Or Smoked","Harengs - salés ou en saumure, mais non séchés ou fumés"
"030562","Cod, Salted Or In Brine - Not Dried Or Smoked","Morues - salées ou en saumure, mais non séchées ou fumées"
"030563","Anchovies, Salted Or In Brine - Not Dried Or Smoked","Anchois - salés ou en saumure, mais non séchés ou fumés"
"030569","Other Fish Nes - Salted Or In Brine - Not Dried Or Smoked","Poissons nda - salés ou en saumure, mais non séchés ou fumés"
"030571","Fish Fins, Heads, Tails, Maws And Other Edible Fish Offal : Shark Fins","Ailerons de requins"
"030572","Fish Fins, Heads, Tails, Maws And Other Edible Fish Offal : Fish Heads, Tails And Maws","Têtes, queues et vessies natatoires de poissons"
"030579","Fish Fins, Heads, Tails, Maws And Other Edible Fish Offal : Other","Autres nageoires, têtes, vessies natatoires et autres abats de poissons comestibles"
"030611","Rock Lobster And Other Sea Crawfish - Frozen","Langoustes - congelés"
"030612","Lobsters, (Homarus Spp) - Frozen","Homards - congelés"
"030614","Crabs - Frozen","Crabes - congelés"
"030615","Norway Lobsters","Langoustines"
"030616","Cold-Water Shrimps And Prawns","Crevettes d'eau froide"
"030617","Other Shrimps And Prawns","Autres crevettes"
"030619","Crustaceans Nes - Frozen","Autres crustacés nda - congelés"
"030621","Rock Lobster And Other Sea Crawfish  - Not Frozen","Langoustes - non congelés"
"030622","Other Lobsters Nes - Not Frozen","Homards - non congelés"
"030624","Crabs - Not Frozen","Crabes - non congelés"
"030626","Cold-Water Shrimps And Prawns","Crevettes d'eau froide"
"030627","Other Shrimps And Prawns","Autres crevettes"
"030629","Crustaceans Nes - Not Frozen","Autres crustacés nda - non congelés"
"030711","Oysters: Live, Fresh Or Chilled","Huîtres (même sans coquille)"
"030719","Oysters: Other","Huîtres vivantes, fraîches ou réfrigérées"
"030721","Scallops: Live, Fresh Or Chilled","Coquilles st-jacques, pétoncles et coquillages similaires - vivants, frais ou réfrigérés"
"030729","Scallops - Frozen, Salted, Dried Or In Brine","Coquilles st-jacques,  pétoncles et coquillages similaires - congelées, sechées, salées ou en saumur"
"030731","Mussels - Live, Fresh Or Chilled","Moules - vivantes, fraîches ou réfrigérées"
"030739","Mussels - Frozen, Salted, Dried Or In Brine","Moules - congelées, sechées, salées ou en saumure"
"030741","Squid - Live, Fresh Or Chilled","Seiches, sépioles, calmars et encornets - vivants, frais ou réfrigérés"
"030749","Cuttle Fish - Frozen, Salted, Dried Or In Brine","Seiches, sépioles, calmars et encornets- congelées, sechées, salées ou en saumure"
"030751","Octopus - Live, Fresh Or Chilled","Poulpes ou pieuvres - vivants, frais ou réfrigérés"
"030759","Octopus - Frozen, Dried, Salted Or In Brine","Poulpes ou pieuvres - congelées, sechées, salées ou en saumure"
"030760","Snails (Other Than Sea Snails)","Escargots autres que de mer"
"030771","Clams, Cocles And Ark Shells Live, Fresh Or Chilled","Clams, coques et arches vivantes, fraîches ou réfrigérées"
"030779","Other: Clams, Cocles And Ark Shells","Autres: clams, coques et arches"
"030781","Abalone: Live, Fresh Or Chilled","Ormeaux"
"030789","Other: Abalone","Autres: ormeaux"
"030791","Other, Including Flours, Meals And Pellets, Fit For Human Consumption: Live, Fresh Or Chilled","Autres, y compris les farines, poudres et agglomérés sous forme de pellets, propres à l'alimentation"
"030799","Other: Other, Including Flours, Meals And Pellets, Fit For Human Consumption","Autres, y compris les farines, poudres et agglomérés sous forme de pellets, propres à l'alimentation"
"030811","Sea Cucumbers: Live, Fresh Or Chilled","Bêches-de-mer"
"030819","Other: Sea Cucumbers","Bêches-de-mer"
"030821","Sea Urchins: Live, Fresh Or Chilled","Oursins"
"030829","Other: Sea Urchins","Autres: oursins"
"030830","Jellyfish","Méduses"
"030890","Other: Jellyfish","Autres: méduses"
"040110","Milk/Cream, Not Concentrated Or Sweetened (<2%  Fat)","Lait et crème - non concentré, non sucré - matières grasses <1%"
"040120","Milk/Cream, Not Concentrated Or Sweetened (2-6% Fat)","Lait et crème - non concentré, non sucré - matières grasses 1-6%"
