"HS10-SH10","DESCRIPTION_ENG","DESCRIPTION_FRA"
"0105159000","Guinea fowls, domestic, live, o/t for breeding purposes, w","Pintades domestiques, vivantes, a/q pour reproduction, poids <= 185 g,nda"
"0105941011","Fowls, (Gallus dom), live,for breeding and started pullets","Coqs et poules,domes,vivants,pr repro et poussins démarrés,pds > 185g <= 2000g"
"0105941012","Fowls, (Gallus dom),live,for breeding purposes and started","Coqs et poules,domes,vivants,pr reproduction et poussins démarrés,poids >2000g"
"0105941020","Spent fowl, live, domestic","Volailles de réforme, vivantes, domestiques"
"0105949110","Fowls, (Gallus dom), live, nes, <= 2000 g, w/a","Coqs et poules, domestiques, vivants, nda, poids, <= 2000 g, e/d acc"
"0105949120","Fowls, (Gallus dom), live, exc started pullets and spent f","Coqs,poules,domes,viv,a/q poussin démarré et volaille réforme,pds>2000g,e/d acc"
"0105949210","Fowls, (Gallus dom), live, nes, <= 2000 g, o/a","Coqs et poules, domestiques, vivants, poids <= 2000 g, a/d acc"
"0105949220","Fowls, (Gallus dom), live, exc started pullets and spent f","Coqs,poule,domes,viv,a/q poussin démarré et volaille réforme,pds >2000g,a/d acc"
"0105991100","Turkeys, live, weighing more than 185 g, within access com","Dindons et dindes, vivants, pds > 185 g,dans les limites de l'engagement d'accès"
"0105991200","Turkeys, live, weighing more than 185 g, over access commi","Dindons et dindes, vivants, pds > 185 g, au-dessus de l'engagement d'accès"
"0105999000","Poultry,dom,live, nes, weighing more than 185 grams","Volailles, domestiques, vivantes, nda, poids > 185 g"
"0106110000","Primates, live","Primates, vivants"
"0106120000","Whales,dolphins & porpoises;manatees & dugongs;seals,sea l","Baleines,dauphins,marsouins;lamantins,dugongs;otaries,phoques,morses,etc,vivants"
"0106130000","Camels and other camelids, live","Chameaux et autres camélidés, vivants"
"0106140000","Rabbits and hares, live","Lapins et lièvres, vivants"
"0106190010","Mink, live","Visons vivants"
"0106190090","Other mammals, live, nes","Autres mammifères vivants, nda"
"0106200000","Reptiles, including snakes and turtles, live","Reptiles, y compris les serpents et les tortues de mer, vivants"
"0106310000","Birds of prey, live","Oiseaux de proie, vivants"
"0106320000","Psittaciformes, including parrots, parakeets, macaws and c","Psittaciformes, y compris les perroquets, perruches, aras et cacatoès, vivants"
"0106330000","Ostriches, live; emus, live","Autruches vivantes; émeus, vivants"
"0106390010","Pet or song birds, live","Oiseaux d'appartement ou chanteurs, vivants"
"0106390090","Other birds, live, nes","Autres oiseaux vivants, nda"
"0106410011","Honey bees, live, except queen bees, in packages of a weig","Abeilles à miel, vivantes, a/q reines-abeilles, en paquets d'un poids <= 1 kg"
"0106410012","Honey bees, live, except queen bees, in packages of a weig","Abeilles à miel,vivantes,a/q reines-abeilles,en paquets d'un poids excédant 1 kg"
"0106410020","Queen bees, live","Reines-abeilles vivantes"
"0106410090","Live bees, other than honey or queen, nes","Abeilles vivantes, autres qu'à miel ou reine, nda"
"0106490000","Other insects, live, nes","Autres insectes vivants, nda"
"0106900010","Bait, live","Appâts vivants"
"0106900090","Other live animals, nes","Autres animaux vivants, nda"
"0201101010","Veal, carcasses and half-carcasses, fresh or chilled, with","Carcasses et demi-carcasses de veau, fraîches ou réfrigérées, e/d acc"
"0201101090","Bovine carcasses and half-carcasses, except veal,fresh or","Carcasses et demi-carcasses de bovins, a/q veau, fraîches ou réfrigérées,e/d acc"
"0201102010","Veal, carcasses and half-carcasses, fresh or chilled, over","Carcasses et demi-carcasses de veau, fraîches ou réfrigérées, a/d acc"
"0201102090","Bovine carcasses and half-carcasses, exc veal,fresh/chd, o","Carcasses et demi-carcasses de bovins, a/q veau, fraîches ou réfrigérées,a/d acc"
"0201201010","Veal cuts, bone in, fresh or chilled, within access commit","Morceaux de veau,non désossés,frais ou réfrigérés,e/d acc"
"0201201080","Bovine cuts, bone in,processed,o/t veal, fresh/chilled, wi","Morceaux de bovins, non désossés, transformés, a/q veau,frais/réfrigérés,e/d acc"
"0201201091","Bovine rib cuts, bone in, o/t veal or processed, fresh/chi","Côtes de bovins,non désossées,a/q veau/transformées,fraîches/réfrigérées,e/d acc"
"0201201092","Bovine hip cuts, bone in, o/t veal or processed, fresh/chi","Cuisse de bovins,non désossée,a/q veau ou transformée,fraîche/réfrigérée,e/d acc"
"0201201093","Bovine loin cuts, bone in, o/t veal or processed, fresh/ch","Longe de bovins,non désossée,a/q veau ou transformée,fraîche/réfrigérée,e/d acc"
"0201201099","Bovine cuts, bone in, o/t veal or processed, fresh/chilled","Morceaux de bovins,non désossés,a/q veau ou transformés,frais/réfrig,e/d acc,nda"
"0201202010","Veal cuts, bone in, fresh or chilled, over access commitme","Morceaux de veau, non désossés, frais ou réfrigérés, a/d acc"
"0201202030","Bison cuts, bone in, fresh or chilled, over access commitm","Morceaux de bison,non désossés, frais/réfrigérés,au-dessus d'engagement d'accès"
"0201202080","Bovine cuts, bone in, processed, o/t veal/bison, fresh/chi","Morceaux de bovins,non désossés,transformés,a/q veau/bison, frais/réfrig,a/d acc"
"0201202091","Bovine rib cuts, bone in, o/t veal/bison/processed, fresh/","Côtes de bovins, n désossées,a/q veau/bison/transformées,fraîches/réfrig,a/d acc"
"0201202092","Bovine hip cuts, bone in, o/t veal/bison/processed, fresh/","Cuisse de bovins,non désossée,a/q veau/bison/transformée,fraîche/réfrig, a/d acc"
"0201202093","Bovine loin cuts,bone in,o/t veal/bison/processed, fresh/c","Longe de bovins,non désossée,a/q veau/bison/transformée, fraîche/réfrig, a/d acc"
"0201202099","Bovine cuts, bone in, o/t veal/bison/processed, fresh/chil","Morceaux de bovins,non désossés,a/q veau/bison/transfor,frais/réfrig,a/d acc,nda"
"0201301010","Veal cuts, boneless, fresh or chilled, within access commi","Morceaux de veau, désossés, frais ou réfrigérés, e/d acc"
"0201301080","Bovine cuts, boneless, processed, o/t veal, fresh or chill","Morceaux de bovins, désossés, transformés, a/q veau, frais/réfrigérés, e/d acc"
"0201301091","Bovine brisket cuts, boneless,o/t veal or processed,fresh/","Pointe de poitrine de bovins,désossée, a/q veau/transfor, fraîche/réfrig,e/d acc"
"0201301092","Bovine chuck cuts, boneless, o/t veal/processed, fresh/chi","Bloc d'épaule de bovins, désossé, a/q veau/transformé, frais/réfrigéré, e/d acc"
"0201301093","Bovine rib cuts, boneless, o/t veal/processed, fresh/chill","Côtes de bovins, désossées, a/q veau/transformées, fraîches/réfrigérées, e/d acc"
"0201301094","Bovine hip cuts, boneless, o/t veal/processed, fresh/chill","Cuisse de bovins, désossée, a/q veau ou transformée, fraîche/réfrigérée, e/d acc"
"0201301095","Bovine loin cuts, boneless, o/t veal/processed, fresh/chil","Longe de bovins, désossée, a/q veau ou transformée, fraîche/réfrigérée, e/d acc"
"0201301096","Bovine forequarter, boneless, o/t veal/processed, fresh/ch","Quartier avant de bovins,désossé,a/q veau ou transformé,frais/réfrigéré,e/d acc"
"0201301097","Bovine hindquarter, boneless, o/t veal or processed,fresh/","Quartier arrière de bovins, désossé, a/q veau ou transformé,frais/réfrig,e/d acc"
"0201301099","Bovine cuts, boneless, o/t veal or processed, fresh/chille","Morceaux de bovins,désossés,a/q veau ou transformés,frais/réfrigérés,e/d acc,nda"
"0201302010","Veal cuts, bonelesss, fresh or chilled, over access commit","Morceaux de veau,désossés,frais ou réfrigérés,au-dessus de l'engagement d'accès"
"0201302050","Bison cuts, bonelesss, fresh or chilled, over access commi","Morceaux de bison,désossés,frais ou réfrigérés,au-dessus de l'engagement d'accès"
"0201302060","Bovine cuts, boneless, processed, o/t veal/bison, fresh/ch","Morceaux de bovins,désossés,transformés,a/q veau/bison,frais/réfrigérés,a/d acc"
"0201302070","Bovine forequarter, boneless, o/t veal/bison/processed,fr/","Quartier avant de bovins,désossé,a/q veau/bison/transformé,fr/réfrigéré,a/d acc"
"0201302080","Bovine hindquarter, boneless, o/t veal/bison/processed,fr/","Quartier arrière de bovins, désossé, a/q veau/bison/transformé,fr/réfrig,a/d acc"
"0201302091","Bovine brisket cuts, boneless,o/t veal/bison/processed,fr/","Pointe de poitrine de bovins, désossée,a/q veau/bison/transfor,fr/réfrig,a/d acc"
"0201302092","Bovine chuck cuts,boneless,o/t veal/bison/processed,fresh/","Bloc d'épaule de bovins, désossé, a/q veau/bison/transformé,fr/réfrigéré,a/d acc"
"0201302093","Bovine rib cuts, boneless, o/t veal/bison/processed,fresh/","Côtes de bovins, désossées, a/q veau/bison/transformées, fraîches/réfrig,a/d acc"
"0201302094","Bovine hip cuts, boneless, o/t veal/bison/processed,fresh/","Cuisse de bovins, désossée,a/q veau/bison/transformée,fraîche/réfrigérée,a/d acc"
"0201302095","Bovine loin cuts, boneless,o/t veal/bison/processed,fresh/","Longe de bovins,désossée, a/q veau/bison/transformée, fraîche/réfrigérée,a/d acc"
"0201302099","Bovine cuts,boneless, o/t veal/bison/processed, fresh/chil","Morceaux de bovins,désossés,a/q veau/bison/transformés,fr/réfrigérés,a/d acc,nda"
"0202101010","Veal carcasses and half-carcasses, frozen, within access c","Carcasses et demi-carcasses de veau, congelées, e/d acc"
"0202101090","Bovine carcasses and half-carcasses, exc veal, frozen, wit","Carcasses et demi-carcasses de bovins, a/q veau, congelées, e/d acc"
"0202102010","Veal carcasses and half-carcasses, frozen, over access com","Carcasses et demi-carcasses de veau, congelées,au-dessus de l'engagement d'accès"
"0202102090","Bovine carcasses and half-carcasses, exc veal, frozen, ove","Carcasses et demi-carcasses de bovins, a/q veau, congelées, a/d acc"
"0202201010","Veal cuts, bone in, frozen, within access commitment","Morceaux de veau,non désossés,congelés,dans les limites de l'engagement d'accès"
"0202201080","Bovine cuts, bone in, processed, o/t veal, frozen, within","Morceaux de bovins, non désossés, transformés, a/q veau, congelés, e/d acc"
"0202201091","Bovine rib cuts, bone in, o/t veal/processed, frozen, with","Côtes de bovins, non désossées, a/q veau/transformées, congelées, e/d acc"
"0202201092","Bovine hip cuts, bone in, o/t veal/processed, frozen, with","Cuisse de bovins, non désossée, a/q veau ou transformée, congelée, e/d acc"
"0202201093","Bovine loin cuts, bone in, o/t veal/processed, frozen, wit","Longe de bovins, non désossée, a/q veau ou transformée, congelée, e/d acc"
"0202201099","Bovine cuts, bone in, o/t veal/processed, frozen, within a","Morceaux de bovins, non désossés, a/q veau ou transformés, congelés, e/d ac, nda"
"0202202010","Veal cuts, bone in, frozen, over access commitment","Morceaux de veau, non désossés, congelés, au-dessus de l'engagement d'accès"
"0202202030","Bison cuts, bone in, frozen, over access commitment","Morceaux de bison, non désossés, congelés, au-dessus de l'engagement d'accès"
"0202202080","Bovine cuts, bone in, processed, o/t veal/bison, frozen, o","Morceaux de bovins, non désossés, transformés, a/q veau/bison, congelés, a/d acc"
"0202202091","Bovine rib cuts, bone in, o/t veal/bison/processed,frozen,","Côtes de bovins, non désossées, a/q veau/bison/transformées, congelées, a/d acc"
"0202202092","Bovine hip cuts, bone in, o/t veal/bison/processed,frozen,","Cuisse de bovins, non désossée, a/q veau/bison/transformée, congelée, a/d acc"
"0202202093","Bovine loin cuts, bone in,o/t veal/bison/processed,frozen,","Longe de bovins, non désossée, a/q veau/bison/transformée, congelée, a/d acc"
"0202202099","Bovine cuts, bone in, o/t veal/bison/processed,frozen,over","Morceaux de bovins, non désossés,a/q veau/bison/transformés,congelés,a/d acc,nda"
"0202301010","Veal cuts, boneless, frozen, within access commitment","Morceaux de veau,désossés,congelés,dans les limites de l'engagement d'accès"
"0202301070","Bovine cuts, boneless, processed, o/t veal, frozen, within","Morceaux de bovins, désossés, transformés, a/q veau, congelés, e/d acc"
"0202301081","Bovine forequarter, boneless, o/t veal/processed,frozen,wi","Quartier avant de bovins, désossé, a/q veau/transformé, congelé, e/d acc"
"0202301082","Bovine hindquarter, boneless, o/t veal/processed,frozen,wi","Quartier arrière de bovins, désossé, a/q veau/transformé, congelé, e/d acc"
"0202301091","Bovine brisket cuts, boneless,o/t veal/processed,frozen,wi","Pointe de poitrine de bovins, désossée, a/q veau/transformée, congelée, e/d acc"
"0202301092","Bovine chuck cuts, boneless, o/t veal/processed, frozen,wi","Bloc d'épaule de bovins, désossé, a/q veau/transformé, congelé, e/d acc"
"0202301093","Bovine rib cuts, boneless, o/t veal/processed, frozen, wit","Côtes de bovins, désossées, a/q veau/transformées, congelées, e/d acc"
"0202301094","Bovine flank cuts, boneless, o/t veal/processed, frozen,wi","Flanc de bovins,désossé,a/q veau/transformé,congelé,ds limites engagement accès"
"0202301095","Bov eye/out/inside rnd,out flat,sirlion tip,boneless,o/t v","Noix/ext/int ronde,plat ext et surlonge bovi,déso,a/q veau/transfor,cong,e/d acc"
"0202301096","Bovine hip cuts, boneless, o/t veal/processed, frozen, wit","Cuisses de bovins, désossées, a/q veau/transformées, congelées, e/d acc"
"0202301097","Bovine loin cuts, boneless, o/t veal/processed, frozen, wi","Longe de bovins, désossée, a/q veau ou transformée, congelée, e/d acc"
"0202301099","Bovine cuts, boneless, o/t veal/processed, frozen, within","Morceaux de bovins, désossés, a/q veau/transformés, congelés, e/d acc, nda"
"0202302010","Veal cuts, boneless, frozen, over access commitment","Morceaux de veau, désossés, congelés, au-dessus de l'engagement d'accès"
"0202302050","Bison cuts, boneless, frozen, over access commitment","Morceaux de bison, désossés, congelés, au-dessus de l'engagement d'accès"
"0202302060","Bovine cuts, boneless, processed, o/t veal/bison, frozen,","Morceaux de bovins, désossés, transformés, a/q veau/bison, congelés, a/d acc"
"0202302070","Bovine forequarter, boneless,o/t veal/bison/processed,frz,","Quartier avant de bovins, désossé, a/q veau/bison/transformé, congelé, a/d acc"
"0202302080","Bovine hindquarter, boneless,o/t veal/bison/processed,frz,","Quartier arrière de bovins, désossé, a/q veau/bison/transformé, congelé, a/d acc"
"0202302091","Bovine brisket cuts,boneless,o/t veal/bison/processed,frz,","Pointe de poitrine bovins,désossée,a/q veau/bison/transformée,congelée,a/d acc"
"0202302092","Bovine chuck cuts, boneless, o/t veal/bison/processed,frz,","Bloc d'épaule de bovins, désossé, a/q veau/bison/transformé, congelé, a/d acc"
"0202302093","Bovine rib cuts, boneless,o/t veal/bison/processed,frozen,","Côtes de bovins, désossées, a/q veau/bison/transformées, congelées, a/d acc"
"0202302094","Bovine flank cuts, boneless, o/t veal/bison/processed,frz,","Flanc de bovins, désossé, a/q veau/bison/transformé, congelé, a/d acc"
"0202302095","Bovine eye/out/inside rnd,sirlion tip,etc,boneless,o/t vea","Noix/ext/int ronde,surlonge,etc,bovins,déso,a/q veau/bison/transfor,cong,a/d acc"
"0202302096","Bovine hip cuts, boneless,o/t veal/bison/processed,frozen,","Cuisse de bovins, désossée, a/q veau/bison/transformée, congelée, a/d acc"
"0202302097","Bovine loin cuts,boneless,o/t veal/bison/processed,frozen,","Longe de bovins, désossée, a/q veau/bison/transformée, congelée, a/d acc"
"0202302099","Bovine cuts, boneless,o/t veal/bison/processed,frozen,over","Morceaux de bovins, désossés, a/q veau/bison/transformés, congelés, a/d acc, nda"
"0203110000","Swine carcasses and half-carcasses, fresh or chilled","Carcasses et demi-carcasses de porcins, fraîches ou réfrigérées"
"0203120000","Hams, shoulders and cuts thereof, of swine, bone in, fresh","Jambons, épaules et leurs morceaux, de porcins, non désossés, frais ou réfrig"
"0203190010","Swine spare ribs, fresh or chilled","Côtes levées de porcins, fraîches ou réfrigérées"
"0203190020","Swine back ribs, fresh or chilled","Côtes levées de dos, de porcins, fraîches ou réfrigérées"
"0203190091","Swine cuts, processed, fresh or chilled, nes","Morceaux de porcins, transformés, frais ou réfrigérés, nda"
"0203190099","Swine cuts, fresh or chilled, nes","Morceaux de porcins, frais ou réfrigérés, nda"
"0203210000","Swine carcasses and half-carcasses, frozen","Carcasses et demi-carcasses de porcins, congelées"
"0203220000","Hams, shoulders and cuts thereof, of swine, bone in, froze","Jambons, épaules et leurs morceaux, de porcins, non désossés, congelés"
"0203290010","Swine spare ribs, frozen","Côtes levées de porcins, congelées"
"0203290020","Swine back ribs, frozen","Côtes levées de dos, de porcins, congelées"
"0203290090","Swine cuts, frozen, nes","Morceaux de porcins, congelés, nda"
"0204100000","Lamb carcasses and half-carcasses, fresh or chilled","Carcasses et demi-carcasses d'agneau, fraîches ou réfrigérées"
"0204210000","Sheep carcasses and half carcasses, fresh or chilled","Carcasses et demi-carcasses de l'espèce ovine,exc agneau,fraîches ou réfrigérées"
"0204221000","Lamb cuts, bone in, fresh or chilled","Morceaux d'agneau, non désossés, frais ou réfrigérés"
"0204222000","Mutton cuts, bone in, fresh or chilled","Morceaux de mouton, non désossés, frais ou réfrigérés"
"0204230000","Sheep cuts, boneless, fresh or chilled","Viandes désossées de l'espèce ovine, fraîches ou réfrigérées"
"0204300000","Lamb carcasses and half-carcasses, frozen","Carcasses et demi-carcasses d'agneau, congelées"
"0204410000","Sheep carcasses and half-carcasses, frozen","Carcasses et demi-carcasses d'ovins, congelées"
"0204421000","Lamb cuts, bone in, frozen","Morceaux d'agneau, non désossés, congelés"
"0204422000","Mutton cuts, bone in, frozen","Morceaux de mouton, non désossés, congelés"
"0204431000","Lamb cuts, boneless, frozen","Morceaux d'agneau, désossés, congelés"
"0204432000","Mutton cuts, boneless, frozen","Morceaux de mouton, désossés, congelés"
"0204500000","Goat meat, fresh, chilled or frozen","Viande de caprins, fraîche, réfrigérée ou congelée"
"0205000000","Horse, ass, mule or hinny meat, fresh, chilled or frozen","Viande de cheval, d'âne, de mulet ou de bardot, fraîche, réfrigérée ou congelée"
"0206100000","Bovine edible offal, fresh or chilled","Abats comestibles de bovins, frais ou réfrigérés"
"0206210000","Bovine tongues, edible offal, frozen","Langues de bovins, abats comestibles, congelées"
"0206220000","Bovine livers, edible offal, frozen","Foies de bovins, abats comestibles, congelés"
"0206290000","Bovine edible offal, frozen, nes","Abats comestibles de bovins, congelés, nda"
"0206300000","Swine, edible offal, fresh or chilled","Abats comestibles de porcins, frais ou réfrigérés"
"0206410000","Swine livers, edible offal, frozen","Foies de porcins, abats comestibles, congelés"
"0206490000","Swine, edible offal, frozen, nes","Abats comestibles de porcins, congelés, nda"
"0206800000","Sheep, goats, horses, asses, mules or hinnies, edible offa","Abats comestibles d'ovins, caprins, cheval, mulet ou bardot, frais ou réfrigérés"
"0206900000","Sheep, goats, horses, asses, mules or hinnies, edible offa","Abats comestibles d'ovins, caprins, cheval, mulet ou bardot, congelés"
"0207111000","Spent fowl, domestic, whole, fresh or chilled","Volaille de réforme, domestique, entière, fraîche ou réfrigérée"
"0207119100","Fowls (Gallus dom),whole,exc spent fowl, fresh/chilled, wi","Volaille domes,entière,a/q volaille de réforme,fraîche/réfrigérée,e/d acc"
"0207119200","Fowls (Gallus dom), whole,exc spent fowl, fresh/chilled, o","Volaille domes,entière,a/q volaille de réforme,fraîche/réfrigérée,a/d acc"
"0207121000","Spent fowl, domestic, whole, frozen","Volaille de réforme, domestique, entière, congelée"
"0207129100","Fowls (Gallus dom), whole,except spent fowl, frozen, withi","Volaille domestique,entière,a/q volaille de réforme,congelée,e/d acc"
"0207129200","Fowls, (Gallus dom) whole, except spent fowl, frozen, over","Volaille domestique,entière,a/q volaille de réforme, congelée,a/d acc"
"0207131000","Spent fowl cuts and offal, domestic, fresh or chilled","Morceaux et abats de volaille de réforme, domestique, frais ou réfrigérés"
"0207139100","Fowl, (Gallus dom) cuts and offal,o/t spent fowl,fresh or","Morceaux et abats de volaille domes,a/q volaille de réforme,frais/réfrig,e/d acc"
"0207139200","Fowl, (Gallus dom) cuts and offal, o/t spent fowl, fresh o","Morceaux et abats de volaille domes,a/q de réforme,frais/réfrig,non déso,a/d acc"
"0207139300","Fowl, (Gallus dom) cuts and offal, o/t spent fowl,fresh or","Morceaux et abats de volaille domes,a/q de réforme,frais/réfrig,désossés,a/d acc"
"0207141010","Leg quarters, domestic spent fowl, frozen","Cuisses de volaisse de réforme, domestique, avec dos, congelées"
"0207141020","Legs, excluding leg quarters, domestic spent fowl, frozen","Cuisses de volaille de réforme, domestique, sans dos, congelées"
"0207141030","Wings, wing tips or parts thereof, domestic spent fowl, fr","Ailes, bouts d'ailes ou leurs parties, de volaille de réforme domes, congelés"
"0207141040","Offal, domestic spent fowl, frozen","Abats de volaille de réforme, domestique, congelés"
"0207141090","Cuts, domestic spent fowl, frozen, nes","Morceaux de volaille de réforme, domestique, congelés, nda"
"0207142100","Fowl livers, (Gallus dom), frozen, within access commitmen","Foies de volaille domestique,congelés, dans les limites de l'engagement d'accès"
"0207142200","Fowl livers, (Gallus dom), frozen, over access commitment","Foies de volaille domestique, congelés, au-dessus de l'engagement d'accès"
"0207149110","Leg quarters, domestic fowl, o/t spent, frozen, w/a commit","Cuisses de volaille domes,a/q volaille de réforme, congelées, e/d acc"
"0207149120","Legs, excl leg quarters, domestic fowl, o/t spent, frozen,","Cuisses sans dos,volaille domes, a/q volaille de réforme, congelés, e/d acc"
"0207149130","Wings,wing tips,parts thereof, dom fowl, o/t spent, frozen","Ailes,bouts d'ailes, parties,volaille domes,a/q volaille de réf,congelés,e/d acc"
"0207149141","Feet, domestic fowl, o/t spent, frozen, w/a commitment","Pieds de volaille domes, a/q volaille de réforme, congelés, e/d acc"
"0207149149","Offal, domestic fowl, o/t spent, feet and livers, frozen,","Abats de volaille domes, a/q volaille de réf, pieds et foie, congelés, e/d acc"
"0207149190","Cuts, domestic fowl, o/t spent & offals, frozen, w/a commi","Morceaux de volaille domes,a/q volaille de réf & abats,congelés,e/d acc, nda"
"0207149200","Fowls (Gallus dom) cuts & offal,exc spent fowl/livers, fro","Morceaux & abats de volaille domes,a/q réforme ou foie,congelés,non déso,a/d acc"
"0207149300","Fowls (Gallus dom) cuts & offal,exc spent fowl or livers,f","Morceaux & abats de volaille domes,a/q réforme ou foie,congelés,désossés,a/d acc"
"0207241100","Turkeys, domestic, whole, fresh/chilled, canner pack, with","Dindons & dindes,domestiques,entiers,frais/réfrigérés,de conserverie,e/d acc"
"0207241200","Turkeys, domestic,whole, fresh/chilled, canner pack, over","Dindons & dindes,domestiques,entiers,frais/réfrigérés,de conserverie,a/d acc"
"0207249100","Turkeys, domestic, whole,fresh/chilled,o/t canner pack, wi","Dindons & dindes,domestiques,entiers,frais/réfrigérés,a/q de conserverie,e/d acc"
"0207249200","Turkeys, domestic, whole, fresh/chilled, o/t canner pack,","Dindons & dindes,domestiques,entiers,frais/réfrigérés,a/q de conserverie,a/d acc"
"0207251100","Turkeys, domestic, whole, frozen, canner pack, within acce","Dindons & dindes,domestiques,entiers,congelés,de conserverie,e/d acc"
"0207251200","Turkeys, domestic, whole frozen, canner pack, over access","Dindons & dindes,domestiques,entiers,congelés,de conserverie,a/d acc"
"0207259100","Turkeys, domestic, whole, frozen, o/t canner pack, within","Dindons & dindes,domestiques,entiers,congelés,a/q conserverie,e/d acc"
"0207259200","Turkeys, domestic, whole, frozen, o/t canner pack, over ac","Dindons & dindes,domestiques,entiers,congelés,a/q conserverie,a/d acc"
"0207261000","Turkey cuts & offal, domestic, fresh or chilled, within ac","Morceaux & abats de dindons & dindes,domestiques,frais/réfrigérés,e/d acc"
"0207262000","Turkey cuts & offal, domestic, fresh or chilled, bone in,","Morceaux & abats de dindons & dindes,domes,frais/réfrig,non désossés,a/d acc"
"0207263000","Turkey cuts and offal,domestic,fresh or chilled, boneless,","Morceaux et abats de dindons et dindes,domes,frais/réfrigérés,désossés,a/d acc"
"0207271100","Turkey livers, domestic, frozen, within access commitment","Foies de dindons & dindes domestiques, congelés, e/d acc"
"0207271200","Turkey livers, domestic, frozen, over access commitment","Foies de dindons & dindes domestiques, congelés, a/d acc"
"0207279100","Turkey cuts & offal, domestic, exc livers, frozen, within","Morceaux & abats de dindons & dindes, domestiques, a/q foies, congelés, e/d acc"
"0207279200","Turkey cuts & offal, domestic,exc livers,frozen,bone in,ov","Morceaux & abats de dindons & dindes,domes,a/q foies,congelé,non désossé,a/d acc"
"0207279300","Turkey cuts & offal,domestic,exc livers,frozen,boneless,ov","Morceaux & abats de dindons & dindes,domes,a/q foies,congelés,désossés,a/d acc"
"0207410000","Meat and edible offal, of domestic ducks, not cut in piece","Viandes&abats comes,de canards domes, non découpés en morceaux, frais/réfrigérés"
"0207420000","Meat and edible offal, of domestic ducks, not cut in piece","Viandes&abats comes,de canards domestiques, non découpés en morceaux, congelés"
"0207430000","Fatty livers, of domestic ducks, fresh or chilled","Foies gras de canards domestiques, frais ou réfrigérés"
